romance,action,comedy,heart-warming,rating
0.7404577582923556,0.7337997646448545,0.5268791971097548,0.33290608054879883,3.0
0.658391010945188,0.8252114673030887,0.608177228600055,0.9068085403298789,5.0
0.6802496826971881,0.40199158618097774,0.40096377988045223,0.5352227593327682,2.0
0.5722158497976549,0.31261840431523946,0.49631345756347167,0.3199963403464907,1.0
0.5435448032779621,0.6230214355478623,0.7131100728899789,0.6967744411306999,4.0
0.6820354988788365,0.6094986639816203,0.25927969933963213,0.8080411700946324,3.0
0.5008717591531185,0.34096552653968776,0.6616447967191538,0.9127246432008147,3.0
0.749453088115002,0.6734003203336618,0.5807981649426013,0.6038594382726186,4.0
0.792086340929792,0.3702497530115642,0.569893572620284,0.41882402458817924,2.0
0.5579645341832723,0.4084146939143308,0.41746507922242704,0.49024339397148214,2.0
0.589774113418228,0.4575336976127297,0.6209766543897433,0.7053791254307175,3.0
0.6990281525115511,0.5034484462491912,0.7594574362201978,0.6380244936492325,3.0
0.5729983934505566,0.5056983720368339,0.6274470820169502,0.8152614847268052,3.0
0.6589304520309636,0.8661028537730432,0.47030075761942963,0.8339974141634809,4.0
0.6225111231860021,0.8404462954427822,0.3066938783158341,0.692089054954238,3.0
0.19637533886652234,0.9392843959365704,0.6431706213351243,0.50876017941806,4.0
0.5904208405146315,0.4903298023267346,0.21993730527497077,0.6731042060708516,2.0
0.5176104494265032,0.8119070189042117,0.7192397976507332,0.6207295234218986,4.0
0.8039566940228317,0.865971529527943,0.5968809810165425,0.3925677677004829,4.0
0.5634674008872389,0.5330153378944824,0.2234084923936801,0.9401196690800055,3.0
0.37899167498658703,0.7231157488981743,0.8228187443925239,0.7168667172103503,5.0
0.766610583797118,0.5994967032037355,0.619206008022945,0.5352293581287129,3.0
0.4757128075638326,0.4415339838988678,0.6952832006029396,0.5052908884422678,3.0
0.46350609015145744,0.44987276576279334,0.5697874888801618,0.4884701894855028,2.0
0.677389614733886,0.558429654039051,0.5032130692378904,0.9557158719863288,4.0
0.6012515686570865,0.5892645816094237,0.7920677538377203,0.4604427909674013,3.0
0.8510058349657574,0.6525025003865531,0.7442976353287408,0.25091258214353934,3.0
0.7393692063141061,0.5661732512104488,0.5843500070903249,0.5965622908185241,3.0
0.6498211417698659,0.7830111650580469,0.4562710098439722,0.5904376280820108,4.0
0.44040763243448805,0.8548034708433859,0.3982978862903397,0.7628393064012842,4.0
0.32204241227446073,0.7674823520687369,0.7427444035330933,0.5946679336049961,4.0
0.6180288468250373,0.5587959330575286,0.8411188029568515,0.6720542771506675,4.0
0.5319097153654457,0.5584501911065873,0.36724505831318377,0.6424939826416991,2.0
0.3109579820241495,0.59195427998513,0.5313739704528236,0.4906620845135262,3.0
0.5335359256535654,0.7077318999343241,0.7190603473196673,0.296295489458819,3.0
0.7779847837177948,0.6190065480950688,0.6570492921804331,0.6644482327024493,4.0
0.7237906597913917,0.5302365113608187,0.8634876122465952,0.5283164558075232,4.0
0.6499944585949824,0.6333319278957913,0.5964238149585792,0.4219969286724196,3.0
0.5130091560585565,0.5845755939679618,0.319164491334363,0.3403734558724786,2.0
0.661158498501877,0.863177258957673,0.8641666454628979,0.6587949557005447,5.0
